date,state,district,pincode,bio_age_5_17,bio_age_17_
21-10-2025,Delhi,West Delhi,110041,26,39
21-10-2025,Delhi,West Delhi,110058,0,10
21-10-2025,Delhi,West Delhi,110087,0,3
20-10-2025,Delhi,South Delhi,110017,0,1
01-06-2025,Delhi,Central Delhi,110003,0,6
03-06-2025,Delhi,Central Delhi,110069,0,1
03-06-2025,Delhi,Shahdara,110053,2,11
04-06-2025,Delhi,Central Delhi,110069,0,1
04-06-2025,Delhi,New Delhi,110023,1,0
04-06-2025,Delhi,South East Delhi,110025,1,11
12-06-2025,Delhi,Central Delhi,110004,0,3
12-06-2025,Delhi,West Delhi,110064,0,2
14-06-2025,Delhi,New Delhi,110023,0,1
09-06-2025,Delhi,New Delhi,110023,0,1
31-05-2025,Delhi,New Delhi,110023,0,2
22-05-2025,Delhi,Central Delhi,110002,10,11
22-05-2025,Delhi,Central Delhi,110003,6,19
22-05-2025,Delhi,Central Delhi,110008,31,60
22-05-2025,Delhi,Central Delhi,110055,12,33
22-05-2025,Delhi,East Delhi,110032,1,36
22-05-2025,Delhi,New Delhi,110001,5,8
22-05-2025,Delhi,North West Delhi,110033,63,134
22-05-2025,Delhi,North West Delhi,110036,18,34
22-05-2025,Delhi,North West Delhi,110040,37,69
22-05-2025,Delhi,North West Delhi,110042,53,151
22-05-2025,Delhi,North West Delhi,110086,84,180
22-05-2025,Delhi,Shahdara,110053,0,4
22-05-2025,Delhi,South Delhi,110014,5,13
22-05-2025,Delhi,South Delhi,110016,3,7
22-05-2025,Delhi,South Delhi,110017,20,44
22-05-2025,Delhi,South Delhi,110019,26,41
22-05-2025,Delhi,South Delhi,110020,12,15
22-05-2025,Delhi,South Delhi,110049,5,9
22-05-2025,Delhi,South West Delhi,110038,5,3
22-05-2025,Delhi,South West Delhi,110045,42,57
22-05-2025,Delhi,South West Delhi,110057,6,7
22-05-2025,Delhi,South West Delhi,110061,5,1
22-05-2025,Delhi,South West Delhi,110070,8,19
22-05-2025,Delhi,South West Delhi,110071,8,7
