date,state,district,pincode,demo_age_5_17,demo_age_17_
20-10-2025,Haryana,Fatehabad,125112,0,1
20-10-2025,Haryana,Gurgaon,122001,6,31
20-10-2025,Haryana,Gurgaon,122003,0,5
20-10-2025,Haryana,Gurgaon,122006,0,2
20-10-2025,Haryana,Gurgaon,122008,0,1
20-10-2025,Haryana,Gurgaon,122011,0,4
20-10-2025,Haryana,Gurgaon,122015,0,1
20-10-2025,Haryana,Gurgaon,122505,2,7
20-10-2025,Haryana,Hisar,125039,0,4
20-10-2025,Haryana,Hisar,125049,2,2
20-10-2025,Haryana,Jhajjar,124103,2,4
20-10-2025,Haryana,Jhajjar,124505,0,1
20-10-2025,Haryana,Jhajjar,124507,3,10
20-10-2025,Haryana,Jind,126101,1,6
20-10-2025,Haryana,Jind,126113,0,6
20-10-2025,Haryana,Jind,126115,0,2
20-10-2025,Haryana,Jind,126125,0,1
20-10-2025,Haryana,Kaithal,136021,0,2
20-10-2025,Haryana,Kaithal,136026,1,1
20-10-2025,Haryana,Kaithal,136027,2,13
20-10-2025,Haryana,Karnal,132037,0,3
20-10-2025,Haryana,Karnal,132039,0,3
20-10-2025,Haryana,Karnal,132046,0,1
20-10-2025,Haryana,Kurukshetra,136119,0,1
20-10-2025,Haryana,Kurukshetra,136135,2,5
20-10-2025,Haryana,Mahendragarh,123027,0,3
20-10-2025,Haryana,Mahendragarh,123029,0,3
20-10-2025,Haryana,Panchkula,134109,1,2
20-10-2025,Haryana,Panipat,132108,0,1
20-10-2025,Haryana,Rewari,123102,0,1
20-10-2025,Haryana,Rewari,123106,1,1
20-10-2025,Haryana,Rewari,123302,1,1
20-10-2025,Haryana,Rohtak,124001,4,7
20-10-2025,Haryana,Rohtak,124111,1,2
20-10-2025,Haryana,Rohtak,124401,0,2
20-10-2025,Haryana,Rohtak,124501,0,1
20-10-2025,Haryana,Sirsa,125101,0,2
20-10-2025,Haryana,Sirsa,125110,2,5
20-10-2025,Haryana,Sonipat,131028,0,2
20-10-2025,Haryana,Sonipat,131305,0,1
20-10-2025,Haryana,Sonipat,131402,1,2
20-10-2025,Haryana,Yamuna Nagar,135001,4,17
20-10-2025,Haryana,Yamuna Nagar,135021,0,3
20-10-2025,Haryana,Yamuna Nagar,135102,0,3
22-10-2025,Haryana,Ambala,133001,1,1
22-10-2025,Haryana,Ambala,134003,0,2
22-10-2025,Haryana,Bhiwani,127032,0,1
22-10-2025,Haryana,Bhiwani,127045,1,2
22-10-2025,Haryana,Bhiwani,127046,0,2
22-10-2025,Haryana,Faridabad,121001,0,1
22-10-2025,Haryana,Faridabad,121004,0,12
22-10-2025,Haryana,Fatehabad,125111,1,0
22-10-2025,Haryana,Gurgaon,122102,2,0
22-10-2025,Haryana,Jhajjar,124103,0,3
22-10-2025,Haryana,Jind,126114,0,1
22-10-2025,Haryana,Karnal,132041,0,1
22-10-2025,Haryana,Kurukshetra,136128,1,0
22-10-2025,Haryana,Kurukshetra,136135,1,2
22-10-2025,Haryana,Mahendragarh,123021,0,1
22-10-2025,Haryana,Mewat,122508,0,7
22-10-2025,Haryana,Panipat,132104,1,0
22-10-2025,Haryana,Rohtak,124021,0,2
22-10-2025,Haryana,Rohtak,124112,0,2
22-10-2025,Haryana,Rohtak,124514,0,2
22-10-2025,Haryana,Sonipat,131023,0,3
22-10-2025,Haryana,Sonipat,131027,0,1
23-10-2025,Haryana,Ambala,134003,1,7
23-10-2025,Haryana,Ambala,134203,1,2
23-10-2025,Haryana,Bhiwani,127021,2,9
23-10-2025,Haryana,Bhiwani,127046,0,1
